projectCategory, slug                                                     , projectAge, projectSummary          , privateBathrooms, publicBathrooms, furnishingType                                                                  , lift        , ageOfProperty, parkingType, listingType       , floorPlanImage                                                                                , maintenanceCharges       , createdAt, updatedAt, Address info                                                                                                                                                                                         , Variant details                                                                                                                                                                                                                                                                       , Configuration info                     , Title                                                  , Possession Status
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645437-975f7a8ecca1de6d.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 1.0,  ""UNFURNISHED""   , 443.37, 13000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-dbde48f7805f3bd0.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645448-970dda42c441c73b.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 644.11, 19000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645449-b2f826d061804b98.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645450-abde5eb3211c0467.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "3.0, 2.0,  ""UNFURNISHED""   , 798.57, 23000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757324645451-d9b3e0a968cfc871.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712590-57c98e762d3e95c3.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 1.0,  ""UNFURNISHED""   , 379.0, 850000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712591-aa79bad30786e10c.jpg""""]""                                                                                           ,  ""na""                       "    , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712593-25cd2d9a5765be22.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 1.0,  ""UNFURNISHED""   , 354.0, 790000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712594-cd33c56e7db9cd37.jpg""""]""                                                                                           ,  ""na""                       "    , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712597-accd128a6ea12d10.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 0.0,  ""UNFURNISHED""   , 391.0, 880000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712598-d2ac8b8887119ad8.jpg""""]""                                                                                           ,  ""na""                       "    , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712599-4bd849d13fb20425.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 536.0, 12000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712607-8e031215d719e572.jpg""""]""                                                                                           ,  ""na""                       "  , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712608-05900f06f63a6dfa.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 650.0, 14000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757325712608-e94b60550c5c2690.jpg""""]""                                                                                           ,  ""na""                       "  , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210633-ec5431f188d4de3c.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 1.0,  ""UNFURNISHED""   , 457.57, 12000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210665-ab087e966ba018ff.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210671-c54804f690eac296.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 652.83, 17000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757400210672-3f6998fafc9e8521.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
